Compiled jquery-ui.min.js  (19ms)  (pid 30657)
Compiled jquery.min.js  (89ms)  (pid 30657)
Compiled application.js  (11ms)  (pid 30657)
Compiled jquery.js  (21ms)  (pid 30657)
Compiled jquery-ui.js  (27ms)  (pid 30657)
Compiled jquery_ujs.js  (12ms)  (pid 30657)
Compiled bootstrap.js  (34ms)  (pid 30657)
Compiled bootstrap-transition.js  (22ms)  (pid 30657)
Compiled bootstrap-alert.js  (1ms)  (pid 30657)
Compiled bootstrap-button.js  (1ms)  (pid 30657)
Compiled bootstrap-carousel.js  (1ms)  (pid 30657)
Compiled bootstrap-collapse.js  (1ms)  (pid 30657)
Compiled bootstrap-dropdown.js  (0ms)  (pid 30657)
Compiled bootstrap-modal.js  (1ms)  (pid 30657)
Compiled bootstrap-scrollspy.js  (0ms)  (pid 30657)
Compiled bootstrap-tab.js  (1ms)  (pid 30657)
Compiled bootstrap-tooltip.js  (1ms)  (pid 30657)
Compiled bootstrap-popover.js  (1ms)  (pid 30657)
Compiled bootstrap-typeahead.js  (18ms)  (pid 30657)
Compiled users.js  (545ms)  (pid 30657)
Compiled agendas.js  (341ms)  (pid 30657)
Compiled sessions.js  (575ms)  (pid 30657)
Compiled application.js  (7ms)  (pid 30766)
Compiled application.js  (7ms)  (pid 30774)
Compiled core.js  (329ms)  (pid 30774)
Compiled application.js  (10ms)  (pid 31846)
Compiled jquery.js  (2ms)  (pid 31846)
Compiled jquery-ui.js  (4ms)  (pid 31846)
Compiled jquery_ujs.js  (0ms)  (pid 31846)
Compiled bootstrap.js  (16ms)  (pid 31846)
Compiled bootstrap-transition.js  (0ms)  (pid 31846)
Compiled bootstrap-alert.js  (0ms)  (pid 31846)
Compiled bootstrap-button.js  (0ms)  (pid 31846)
Compiled bootstrap-carousel.js  (0ms)  (pid 31846)
Compiled bootstrap-collapse.js  (0ms)  (pid 31846)
Compiled bootstrap-dropdown.js  (0ms)  (pid 31846)
Compiled bootstrap-modal.js  (0ms)  (pid 31846)
Compiled bootstrap-scrollspy.js  (0ms)  (pid 31846)
Compiled bootstrap-tab.js  (0ms)  (pid 31846)
Compiled bootstrap-tooltip.js  (0ms)  (pid 31846)
Compiled bootstrap-popover.js  (0ms)  (pid 31846)
Compiled bootstrap-typeahead.js  (0ms)  (pid 31846)
Compiled users.js  (646ms)  (pid 31846)
Compiled agendas.js  (366ms)  (pid 31846)
Compiled core.js  (321ms)  (pid 31846)
Compiled sessions.js  (359ms)  (pid 31846)
Compiled application.js  (39ms)  (pid 35324)
Compiled jquery.js  (3ms)  (pid 35324)
Compiled jquery-ui.js  (18ms)  (pid 35324)
Compiled jquery_ujs.js  (0ms)  (pid 35324)
Compiled bootstrap.js  (22ms)  (pid 35324)
Compiled bootstrap-transition.js  (0ms)  (pid 35324)
Compiled bootstrap-alert.js  (2ms)  (pid 35324)
Compiled bootstrap-button.js  (0ms)  (pid 35324)
Compiled bootstrap-carousel.js  (40ms)  (pid 35324)
Compiled bootstrap-collapse.js  (0ms)  (pid 35324)
Compiled bootstrap-dropdown.js  (0ms)  (pid 35324)
Compiled bootstrap-modal.js  (0ms)  (pid 35324)
Compiled bootstrap-scrollspy.js  (0ms)  (pid 35324)
Compiled bootstrap-tab.js  (0ms)  (pid 35324)
Compiled bootstrap-tooltip.js  (0ms)  (pid 35324)
Compiled bootstrap-popover.js  (0ms)  (pid 35324)
Compiled bootstrap-typeahead.js  (0ms)  (pid 35324)
Compiled users.js  (875ms)  (pid 35324)
Compiled agendas.js  (533ms)  (pid 35324)
Compiled core.js  (447ms)  (pid 35324)
Compiled sessions.js  (407ms)  (pid 35324)
Compiled application.js  (8ms)  (pid 35590)
Compiled jquery.js  (2ms)  (pid 35590)
Compiled jquery-ui.js  (3ms)  (pid 35590)
Compiled jquery_ujs.js  (0ms)  (pid 35590)
Compiled bootstrap.js  (14ms)  (pid 35590)
Compiled bootstrap-transition.js  (0ms)  (pid 35590)
Compiled bootstrap-alert.js  (0ms)  (pid 35590)
Compiled bootstrap-button.js  (0ms)  (pid 35590)
Compiled bootstrap-carousel.js  (0ms)  (pid 35590)
Compiled bootstrap-collapse.js  (0ms)  (pid 35590)
Compiled bootstrap-dropdown.js  (0ms)  (pid 35590)
Compiled bootstrap-modal.js  (0ms)  (pid 35590)
Compiled bootstrap-scrollspy.js  (0ms)  (pid 35590)
Compiled bootstrap-tab.js  (0ms)  (pid 35590)
Compiled bootstrap-tooltip.js  (0ms)  (pid 35590)
Compiled bootstrap-popover.js  (0ms)  (pid 35590)
Compiled bootstrap-typeahead.js  (0ms)  (pid 35590)
Compiled users.js  (426ms)  (pid 35590)
Compiled agendas.js  (338ms)  (pid 35590)
Compiled core.js  (314ms)  (pid 35590)
Compiled sessions.js  (302ms)  (pid 35590)
Compiled application.css  (882ms)  (pid 36551)
Compiled application.js  (9ms)  (pid 37005)
Compiled jquery.js  (2ms)  (pid 37005)
Compiled jquery-ui.js  (4ms)  (pid 37005)
Compiled jquery_ujs.js  (0ms)  (pid 37005)
Compiled bootstrap.js  (16ms)  (pid 37005)
Compiled bootstrap-transition.js  (0ms)  (pid 37005)
Compiled bootstrap-alert.js  (0ms)  (pid 37005)
Compiled bootstrap-button.js  (0ms)  (pid 37005)
Compiled bootstrap-carousel.js  (0ms)  (pid 37005)
Compiled bootstrap-collapse.js  (0ms)  (pid 37005)
Compiled bootstrap-dropdown.js  (0ms)  (pid 37005)
Compiled bootstrap-modal.js  (0ms)  (pid 37005)
Compiled bootstrap-scrollspy.js  (0ms)  (pid 37005)
Compiled bootstrap-tab.js  (0ms)  (pid 37005)
Compiled bootstrap-tooltip.js  (0ms)  (pid 37005)
Compiled bootstrap-popover.js  (0ms)  (pid 37005)
Compiled bootstrap-typeahead.js  (0ms)  (pid 37005)
Compiled application.css  (1234ms)  (pid 37005)
Compiled application.js  (6ms)  (pid 39131)
Compiled application.css  (1463ms)  (pid 39131)
